pcf_id,stage_desc,scope,value_chain,stage_emissions_kg_co2e,is_transport,is_endoflife
10056-1-2014,Other: Raw Material,Scope 3,Upstream,1.15,No,No
10056-1-2014,Manufacturing,Scope 1 & 2,Operations,0.6,No,No
10056-1-2014,Consumer use,Scope 3,Downstream,0.15,No,No
10056-1-2014,Transportation,Scope 3,Downstream,0.09,Yes,No
10056-1-2014,Storage,Scope 3,Downstream,0.01,No,No
10056-1-2015,Material acquisition,Scope 3,Upstream,1.15,No,No
10056-1-2015,Manufacturing,Scope 1 & 2,Operations,0.6,No,No
10056-1-2015,Consumer use,Scope 3,Downstream,0.15,No,No
10056-1-2015,Transportation,Other: Scope 1 & 3,Downstream,0.09,Yes,No
10056-1-2015,Storage,"Scope 1, 2, & 3",Downstream,0.01,No,No
1085-1-2013,Sugar beet supply - field preparation to factory gate,N/a (field not yet included in 2013 reporting),Upstream,300.0,No,No
1085-1-2013,Industrial process - raw materials to final product storage,N/a (field not yet included in 2013 reporting),Operations,350.0,No,No
12348-4-2014,Packaging,Scope 3,Upstream,1.64,No,No
12348-4-2014,Other: Raw Materials (Agriculture and processing),"Scope 1, 2, & 3",Upstream,0.936,No,No
12348-4-2014,Processing,Scope 1 & 2,Operations,1.134,No,No
12348-4-2014,Distribution,Scope 3,Downstream,0.2436,Yes,No
12348-4-2014,Consumer use,Scope 3,Downstream,0.014,No,No
12348-4-2014,End of life/Final disposal,Scope 3,Downstream,-0.504,No,Yes
12942-1-2013,Packaging: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Upstream,0.008,No,No
12942-1-2013,Cultivation: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Upstream,0.008,No,No
12942-1-2013,Processing: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Operations,0.006,No,No
12942-1-2013,Treatment: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Operations,0.0025,No,No
12942-1-2013,Overheads: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Operations,0.002,No,No
12942-1-2013,"Use and End-of-Life : For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso)  Note: End-of-Life has been aggregated to Use since the system doesn't allow for negative figures for emissions resulting from recovery, incl. recycling, of used packaging.",N/a (field not yet included in 2013 reporting),Downstream,0.034,No,No
12942-1-2013,"Boiler, coffee maker and cup manufacturing: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso)",N/a (field not yet included in 2013 reporting),Downstream,0.002,No,No
12942-1-2013,Delivery: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Downstream,0.002,Yes,No
12942-1-2013,Distribution: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Downstream,0.001,Yes,No
12942-1-2016,Other: Agriculture,Scope 3,Upstream,0.02,No,No
12942-1-2016,Packaging,Scope 3,Upstream,0.0056,No,No
12942-1-2016,Manufacturing,Scope 1 & 2,Operations,0.0057,No,No
12942-1-2016,Consumer use,Scope 3,Downstream,0.019,No,No
12942-1-2016,Distribution,Scope 3,Downstream,0.0013,Yes,No
12942-1-2016,End of life/Final disposal,Scope 3,Downstream,0.0,No,Yes
12942-2-2013,2. Packaging / Equipment Production:  Extraction of raw materials and production of the drinking container and drinking glasses used. Transportation of all production materials for these components up to the point of manufacture are included in this phase.,N/a (field not yet included in 2013 reporting),Upstream,0.0662,No,No
12942-2-2013,1. Beverage Production: Pumping and treatment of the drinking water either at a municipal water plant or at a bottled beverage production facility. Transportation of all water production materials up to the point of manufacture is included in this phase.,N/a (field not yet included in 2013 reporting),Operations,0.0071,No,No
12942-2-2013,"4. Distribution and Marketplace:  Activities related to marketing the products, including operation of retail outlets and/or coolers.",N/a (field not yet included in 2013 reporting),Downstream,0.0584,Yes,No
12942-2-2013,"6. Use and End-of-Life : as the system doesn't allow for negative figures, we have aggregated Use phase and End-of-life phase.   Use: Washing & Refrigeration Refrigeration of the water at the user’s home. Commercial coolers are included in the Distribution and Marketplace stage mentioned above.  End of Life:  Disposal of all materials by either landfilling, waste-to-energy or recycling. For disposal options that reflect a beneficial use of the material, these benefits are added to the system by expanding the system boundary to include the environmental burdens that are avoided by not needing to otherwise fulfill these functions. This includes the avoidance of electricity generation from waste-to-energy operations and avoidance of virgin material production from material recycling. At the end-of-life stage (and in all stages), emissions are included and equally evaluated regardless of the timing of their occurrence.  The Emissions (kg CO2e) per unit at the End of Life stage is -0.004.",N/a (field not yet included in 2013 reporting),Downstream,0.0072,No,No
12942-2-2013,"3. Use - Transport:  All transportation occurring in the system beginning with the immediate suppliers to the manufacturers of beverage products and drinking containers, and ending with the transport of all materials to end-of-life. Also included are transportation of products from point of manufacture to point of sale.",N/a (field not yet included in 2013 reporting),Downstream,0.0054,Yes,No
12942-2-2014,Other: Packaging / Equipment Production,Scope 3,Upstream,0.0662,No,No
12942-2-2014,Other: Beverage Production,Scope 3,Operations,0.0071,No,No
12942-2-2014,Other: Distribution and Marketplace,Scope 3,Downstream,0.0584,Yes,No
12942-2-2014,Other: Use - Washing & Refrigeration,Scope 3,Downstream,0.0076,No,No
12942-2-2014,Other: Transport,Scope 3,Downstream,0.0054,Yes,No
12942-2-2014,Other: End of Life,Scope 3,Downstream,0.0,No,Yes
12942-2-2015,Other: Packaging / Equipment Production,Scope 3,Upstream,0.0662,No,No
12942-2-2015,Other: Beverage Production,"Scope 1, 2, & 3",Operations,0.0071,No,No
12942-2-2015,Other: Distribution and Marketplace,Scope 3,Downstream,0.0584,Yes,No
12942-2-2015,Other: Use - Washing & Refrigeration,Scope 3,Downstream,0.0076,No,No
12942-2-2015,Transportation,Scope 3,Downstream,0.0054,Yes,No
12942-2-2015,End of life/Final disposal,Scope 3,Downstream,0.0,No,Yes
12942-2-2016,Other: Packaging / Equipment Production,Scope 3,Upstream,0.0662,No,No
12942-2-2016,Other: Beverage Production,"Scope 1, 2, & 3",Operations,0.0071,No,No
12942-2-2016,Other: Distribution and Marketplace,Scope 3,Downstream,0.0584,Yes,No
12942-2-2016,Other: Use - Washing & Refrigeration,Scope 3,Downstream,0.0076,No,No
12942-2-2016,Transportation,Scope 3,Downstream,0.0054,Yes,No
12942-2-2016,End of life/Final disposal,Scope 3,Downstream,0.0,No,Yes
12942-3-2013,1a.Packaging production for France.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Upstream,0.081,No,No
12942-3-2013,1c.Product assembly and preservation process for France.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Operations,0.014,No,No
12942-3-2013,1b.Distribution for France.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.076,Yes,No
12942-3-2013,1d.End of life of packaging for France.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.013,No,Yes
12942-4-2013,2a.Packaging production for Spain.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Upstream,0.081,No,No
12942-4-2013,2c. Product assembly and preservation process for Spain.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Operations,0.019,No,No
12942-4-2013,2b. Distribution for Spain.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.041,Yes,No
12942-4-2013,2d.End of life of packaging for Spain.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.002,No,Yes
12942-5-2013,3a. Packaging production for Germany.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Upstream,0.081,No,No
12942-5-2013,3c. Product assembly and preservation process for Germany.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Operations,0.014,No,No
12942-5-2013,3b.Distribution for Germany.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.028,Yes,No
12942-5-2013,3d. End of life of packaging for Germany.  For more specific details please see Humbert et al. (2009) Life cycle assessment of two baby food packaging alternatives: glass jars vs. plastic pots.,N/a (field not yet included in 2013 reporting),Downstream,0.002,No,Yes
22710-1-2014,"Other: storage, transportation, manufacturing, packaging",Scope 3,Upstream,0.141,No,No
22710-1-2014,Production,Scope 2,Operations,0.0123,No,No
22710-1-2014,Production,Scope 1,Operations,0.005,No,No
22710-1-2014,Other: Losses of CO2 (product) during manufacturing,Scope 1,Operations,0.0013,No,No
22710-1-2014,Transportation,Scope 1,Downstream,0.007,Yes,No
22710-1-2014,Storage,Scope 1,Downstream,0.0007,No,No
22710-1-2015,"Other: Manufacturing, Packaging",Scope 3,Upstream,0.0607,No,No
22710-1-2015,Production,Scope 2,Operations,0.0131,No,No
22710-1-2015,Production,Scope 1,Operations,0.0048,No,No
22710-1-2015,Other: Losses of CO2 used for carbonation of the beverages during manufacturing.,Scope 1,Operations,0.0016,No,No
22710-1-2015,"Other: Electricity purchased for remote properties (Distribution centres, offices etc)",Scope 2,Operations,0.0006,No,No
22710-1-2015,"Other: Storage, transportation",Scope 3,Downstream,0.0715,Yes,No
22710-1-2015,Transportation,Scope 1,Downstream,0.0048,Yes,No
22710-1-2015,Storage,Scope 1,Downstream,0.0007,No,No
22710-1-2015,"Other: Fuel used in remote properties (Distribution centres, offices etc)",Scope 1,Downstream,0.0004,No,No
22710-1-2016,Other: Manufacturing & Packaging,Scope 3,Upstream,0.0622,No,No
22710-1-2016,Production,Scope 2,Operations,0.0102,No,No
22710-1-2016,Production,Scope 1,Operations,0.0039,No,No
22710-1-2016,Other: Losses of CO2 used for carbonation of the beverages during manufacturing.,Scope 1,Operations,0.0016,No,No
22710-1-2016,"Other: Electricity purchased for remote properties (Distribution centres, offices etc.)",Scope 2,Operations,0.0005,No,No
22710-1-2016,Other: Transportation & Storage,Scope 3,Downstream,0.0641,Yes,No
22710-1-2016,Transportation,Scope 1,Downstream,0.0041,Yes,No
22710-1-2016,Storage,Scope 1,Downstream,0.0005,No,No
